,Strike,Dip,Rake
0,0,0,-180
1,0,0,-150
2,0,0,-120
3,0,0,-90
4,0,0,-60
5,0,0,-30
6,0,0,0
7,0,0,30
8,0,0,60
9,0,0,90
10,0,0,120
11,0,0,150
12,0,30,-180
13,0,30,-150
14,0,30,-120
15,0,30,-90
16,0,30,-60
17,0,30,-30
18,0,30,0
19,0,30,30
20,0,30,60
21,0,30,90
22,0,30,120
23,0,30,150
24,0,60,-180
25,0,60,-150
26,0,60,-120
27,0,60,-90
28,0,60,-60
29,0,60,-30
30,0,60,0
31,0,60,30
32,0,60,60
33,0,60,90
34,0,60,120
35,0,60,150
36,30,0,-180
37,30,0,-150
38,30,0,-120
39,30,0,-90
40,30,0,-60
41,30,0,-30
42,30,0,0
43,30,0,30
44,30,0,60
45,30,0,90
46,30,0,120
47,30,0,150
48,30,30,-180
49,30,30,-150
50,30,30,-120
51,30,30,-90
52,30,30,-60
53,30,30,-30
54,30,30,0
55,30,30,30
56,30,30,60
57,30,30,90
58,30,30,120
59,30,30,150
60,30,60,-180
61,30,60,-150
62,30,60,-120
63,30,60,-90
64,30,60,-60
65,30,60,-30
66,30,60,0
67,30,60,30
68,30,60,60
69,30,60,90
70,30,60,120
71,30,60,150
72,60,0,-180
73,60,0,-150
74,60,0,-120
75,60,0,-90
76,60,0,-60
77,60,0,-30
78,60,0,0
79,60,0,30
80,60,0,60
81,60,0,90
82,60,0,120
83,60,0,150
84,60,30,-180
85,60,30,-150
86,60,30,-120
87,60,30,-90
88,60,30,-60
89,60,30,-30
90,60,30,0
91,60,30,30
92,60,30,60
93,60,30,90
94,60,30,120
95,60,30,150
96,60,60,-180
97,60,60,-150
98,60,60,-120
99,60,60,-90
100,60,60,-60
101,60,60,-30
102,60,60,0
103,60,60,30
104,60,60,60
105,60,60,90
106,60,60,120
107,60,60,150
108,90,0,-180
109,90,0,-150
110,90,0,-120
111,90,0,-90
112,90,0,-60
113,90,0,-30
114,90,0,0
115,90,0,30
116,90,0,60
117,90,0,90
118,90,0,120
119,90,0,150
120,90,30,-180
121,90,30,-150
122,90,30,-120
123,90,30,-90
124,90,30,-60
125,90,30,-30
126,90,30,0
127,90,30,30
128,90,30,60
129,90,30,90
130,90,30,120
131,90,30,150
132,90,60,-180
133,90,60,-150
134,90,60,-120
135,90,60,-90
136,90,60,-60
137,90,60,-30
138,90,60,0
139,90,60,30
140,90,60,60
141,90,60,90
142,90,60,120
143,90,60,150
144,120,0,-180
145,120,0,-150
146,120,0,-120
147,120,0,-90
148,120,0,-60
149,120,0,-30
150,120,0,0
151,120,0,30
152,120,0,60
153,120,0,90
154,120,0,120
155,120,0,150
156,120,30,-180
157,120,30,-150
158,120,30,-120
159,120,30,-90
160,120,30,-60
161,120,30,-30
162,120,30,0
163,120,30,30
164,120,30,60
165,120,30,90
166,120,30,120
167,120,30,150
168,120,60,-180
169,120,60,-150
170,120,60,-120
171,120,60,-90
172,120,60,-60
173,120,60,-30
174,120,60,0
175,120,60,30
176,120,60,60
177,120,60,90
178,120,60,120
179,120,60,150
180,150,0,-180
181,150,0,-150
182,150,0,-120
183,150,0,-90
184,150,0,-60
185,150,0,-30
186,150,0,0
187,150,0,30
188,150,0,60
189,150,0,90
190,150,0,120
191,150,0,150
192,150,30,-180
193,150,30,-150
194,150,30,-120
195,150,30,-90
196,150,30,-60
197,150,30,-30
198,150,30,0
199,150,30,30
200,150,30,60
201,150,30,90
202,150,30,120
203,150,30,150
204,150,60,-180
205,150,60,-150
206,150,60,-120
207,150,60,-90
208,150,60,-60
209,150,60,-30
210,150,60,0
211,150,60,30
212,150,60,60
213,150,60,90
214,150,60,120
215,150,60,150
