,Strike,Dip,Rake
0,-180,0,-100
1,-180,0,-70
2,-180,0,-40
3,-180,0,-10
4,-180,0,20
5,-180,0,50
6,-180,0,80
7,-180,30,-100
8,-180,30,-70
9,-180,30,-40
10,-180,30,-10
11,-180,30,20
12,-180,30,50
13,-180,30,80
14,-180,60,-100
15,-180,60,-70
16,-180,60,-40
17,-180,60,-10
18,-180,60,20
19,-180,60,50
20,-180,60,80
21,-150,0,-100
22,-150,0,-70
23,-150,0,-40
24,-150,0,-10
25,-150,0,20
26,-150,0,50
27,-150,0,80
28,-150,30,-100
29,-150,30,-70
30,-150,30,-40
31,-150,30,-10
32,-150,30,20
33,-150,30,50
34,-150,30,80
35,-150,60,-100
36,-150,60,-70
37,-150,60,-40
38,-150,60,-10
39,-150,60,20
40,-150,60,50
41,-150,60,80
42,-120,0,-100
43,-120,0,-70
44,-120,0,-40
45,-120,0,-10
46,-120,0,20
47,-120,0,50
48,-120,0,80
49,-120,30,-100
50,-120,30,-70
51,-120,30,-40
52,-120,30,-10
53,-120,30,20
54,-120,30,50
55,-120,30,80
56,-120,60,-100
57,-120,60,-70
58,-120,60,-40
59,-120,60,-10
60,-120,60,20
61,-120,60,50
62,-120,60,80
63,-90,0,-100
64,-90,0,-70
65,-90,0,-40
66,-90,0,-10
67,-90,0,20
68,-90,0,50
69,-90,0,80
70,-90,30,-100
71,-90,30,-70
72,-90,30,-40
73,-90,30,-10
74,-90,30,20
75,-90,30,50
76,-90,30,80
77,-90,60,-100
78,-90,60,-70
79,-90,60,-40
80,-90,60,-10
81,-90,60,20
82,-90,60,50
83,-90,60,80
84,-60,0,-100
85,-60,0,-70
86,-60,0,-40
87,-60,0,-10
88,-60,0,20
89,-60,0,50
90,-60,0,80
91,-60,30,-100
92,-60,30,-70
93,-60,30,-40
94,-60,30,-10
95,-60,30,20
96,-60,30,50
97,-60,30,80
98,-60,60,-100
99,-60,60,-70
100,-60,60,-40
101,-60,60,-10
102,-60,60,20
103,-60,60,50
104,-60,60,80
105,-30,0,-100
106,-30,0,-70
107,-30,0,-40
108,-30,0,-10
109,-30,0,20
110,-30,0,50
111,-30,0,80
112,-30,30,-100
113,-30,30,-70
114,-30,30,-40
115,-30,30,-10
116,-30,30,20
117,-30,30,50
118,-30,30,80
119,-30,60,-100
120,-30,60,-70
121,-30,60,-40
122,-30,60,-10
123,-30,60,20
124,-30,60,50
125,-30,60,80
126,0,0,-100
127,0,0,-70
128,0,0,-40
129,0,0,-10
130,0,0,20
131,0,0,50
132,0,0,80
133,0,30,-100
134,0,30,-70
135,0,30,-40
136,0,30,-10
137,0,30,20
138,0,30,50
139,0,30,80
140,0,60,-100
141,0,60,-70
142,0,60,-40
143,0,60,-10
144,0,60,20
145,0,60,50
146,0,60,80
147,30,0,-100
148,30,0,-70
149,30,0,-40
150,30,0,-10
151,30,0,20
152,30,0,50
153,30,0,80
154,30,30,-100
155,30,30,-70
156,30,30,-40
157,30,30,-10
158,30,30,20
159,30,30,50
160,30,30,80
161,30,60,-100
162,30,60,-70
163,30,60,-40
164,30,60,-10
165,30,60,20
166,30,60,50
167,30,60,80
168,60,0,-100
169,60,0,-70
170,60,0,-40
171,60,0,-10
172,60,0,20
173,60,0,50
174,60,0,80
175,60,30,-100
176,60,30,-70
177,60,30,-40
178,60,30,-10
179,60,30,20
180,60,30,50
181,60,30,80
182,60,60,-100
183,60,60,-70
184,60,60,-40
185,60,60,-10
186,60,60,20
187,60,60,50
188,60,60,80
189,90,0,-100
190,90,0,-70
191,90,0,-40
192,90,0,-10
193,90,0,20
194,90,0,50
195,90,0,80
196,90,30,-100
197,90,30,-70
198,90,30,-40
199,90,30,-10
200,90,30,20
201,90,30,50
202,90,30,80
203,90,60,-100
204,90,60,-70
205,90,60,-40
206,90,60,-10
207,90,60,20
208,90,60,50
209,90,60,80
210,120,0,-100
211,120,0,-70
212,120,0,-40
213,120,0,-10
214,120,0,20
215,120,0,50
216,120,0,80
217,120,30,-100
218,120,30,-70
219,120,30,-40
220,120,30,-10
221,120,30,20
222,120,30,50
223,120,30,80
224,120,60,-100
225,120,60,-70
226,120,60,-40
227,120,60,-10
228,120,60,20
229,120,60,50
230,120,60,80
231,150,0,-100
232,150,0,-70
233,150,0,-40
234,150,0,-10
235,150,0,20
236,150,0,50
237,150,0,80
238,150,30,-100
239,150,30,-70
240,150,30,-40
241,150,30,-10
242,150,30,20
243,150,30,50
244,150,30,80
245,150,60,-100
246,150,60,-70
247,150,60,-40
248,150,60,-10
249,150,60,20
250,150,60,50
251,150,60,80
