,Strike,Dip,Rake
0,0,0,-100
1,0,0,-70
2,0,0,-40
3,0,0,-10
4,0,0,20
5,0,0,50
6,0,0,80
7,0,30,-100
8,0,30,-70
9,0,30,-40
10,0,30,-10
11,0,30,20
12,0,30,50
13,0,30,80
14,0,60,-100
15,0,60,-70
16,0,60,-40
17,0,60,-10
18,0,60,20
19,0,60,50
20,0,60,80
21,30,0,-100
22,30,0,-70
23,30,0,-40
24,30,0,-10
25,30,0,20
26,30,0,50
27,30,0,80
28,30,30,-100
29,30,30,-70
30,30,30,-40
31,30,30,-10
32,30,30,20
33,30,30,50
34,30,30,80
35,30,60,-100
36,30,60,-70
37,30,60,-40
38,30,60,-10
39,30,60,20
40,30,60,50
41,30,60,80
42,60,0,-100
43,60,0,-70
44,60,0,-40
45,60,0,-10
46,60,0,20
47,60,0,50
48,60,0,80
49,60,30,-100
50,60,30,-70
51,60,30,-40
52,60,30,-10
53,60,30,20
54,60,30,50
55,60,30,80
56,60,60,-100
57,60,60,-70
58,60,60,-40
59,60,60,-10
60,60,60,20
61,60,60,50
62,60,60,80
63,90,0,-100
64,90,0,-70
65,90,0,-40
66,90,0,-10
67,90,0,20
68,90,0,50
69,90,0,80
70,90,30,-100
71,90,30,-70
72,90,30,-40
73,90,30,-10
74,90,30,20
75,90,30,50
76,90,30,80
77,90,60,-100
78,90,60,-70
79,90,60,-40
80,90,60,-10
81,90,60,20
82,90,60,50
83,90,60,80
84,120,0,-100
85,120,0,-70
86,120,0,-40
87,120,0,-10
88,120,0,20
89,120,0,50
90,120,0,80
91,120,30,-100
92,120,30,-70
93,120,30,-40
94,120,30,-10
95,120,30,20
96,120,30,50
97,120,30,80
98,120,60,-100
99,120,60,-70
100,120,60,-40
101,120,60,-10
102,120,60,20
103,120,60,50
104,120,60,80
105,150,0,-100
106,150,0,-70
107,150,0,-40
108,150,0,-10
109,150,0,20
110,150,0,50
111,150,0,80
112,150,30,-100
113,150,30,-70
114,150,30,-40
115,150,30,-10
116,150,30,20
117,150,30,50
118,150,30,80
119,150,60,-100
120,150,60,-70
121,150,60,-40
122,150,60,-10
123,150,60,20
124,150,60,50
125,150,60,80
