Index,Strike,Dip,Rake,Misfit,Extra
29,78,46,-68,0.0045607773805,"[535, 'iasp91', 177816, array([ 0.76475457, -1.46165925,  2.29048389]), array([ 0.27024467, -0.51412401,  0.81402968])]"
9,62,40,-90,0.00815280304661,"[535, 'iasp91', 141505, array([ 0.77976658, -1.51729342,  2.42232423]), array([ 0.27024467, -0.51412401,  0.81402968])]"
19,70,42,-80,0.00951679849325,"[535, 'iasp91', 159610, array([ 0.7666373 , -1.48683529,  2.38643984]), array([ 0.27024467, -0.51412401,  0.81402968])]"
66,94,72,-30,0.0101813590713,"[535, 'iasp91', 215135, array([ 0.77734412, -1.44821645,  2.26109709]), array([ 0.27024467, -0.51412401,  0.81402968])]"
50,90,58,-48,0.0104104342076,"[535, 'iasp91', 205426, array([ 0.74501194, -1.4169749 ,  2.29380296]), array([ 0.27024467, -0.51412401,  0.81402968])]"
63,94,68,-36,0.0120218829881,"[535, 'iasp91', 214932, array([ 0.74836283, -1.44384805,  2.33585046]), array([ 0.27024467, -0.51412401,  0.81402968])]"
20,70,42,-78,0.0125488559009,"[535, 'iasp91', 159611, array([ 0.78857839, -1.42467117,  2.285102  ]), array([ 0.27024467, -0.51412401,  0.81402968])]"
10,62,40,-88,0.0127808181268,"[535, 'iasp91', 141506, array([ 0.80096002, -1.47525177,  2.30323636]), array([ 0.27024467, -0.51412401,  0.81402968])]"
55,92,62,-44,0.01289275276,"[535, 'iasp91', 210128, array([ 0.73405168, -1.47509101,  2.30950887]), array([ 0.27024467, -0.51412401,  0.81402968])]"
46,88,56,-50,0.0136915496413,"[535, 'iasp91', 200825, array([ 0.76267396, -1.43138123,  2.210362  ]), array([ 0.27024467, -0.51412401,  0.81402968])]"
57,92,64,-40,0.0150085106792,"[535, 'iasp91', 210230, array([ 0.76130247, -1.45089042,  2.2249969 ]), array([ 0.27024467, -0.51412401,  0.81402968])]"
23,74,44,-74,0.0152622603482,"[535, 'iasp91', 168713, array([ 0.76492242, -1.51674297,  2.32306934]), array([ 0.27024467, -0.51412401,  0.81402968])]"
39,86,52,-58,0.0173420153629,"[535, 'iasp91', 196121, array([ 0.72901215, -1.46869741,  2.35250303]), array([ 0.27024467, -0.51412401,  0.81402968])]"
6,60,40,-92,0.0175872642527,"[535, 'iasp91', 137004, array([ 0.78482648, -1.57491765,  2.40361915]), array([ 0.27024467, -0.51412401,  0.81402968])]"
24,74,44,-72,0.0177429556021,"[535, 'iasp91', 168714, array([ 0.78690903, -1.44432254,  2.23152078]), array([ 0.27024467, -0.51412401,  0.81402968])]"
36,84,50,-60,0.01839382782,"[535, 'iasp91', 191520, array([ 0.74720823, -1.41041634,  2.32584771]), array([ 0.27024467, -0.51412401,  0.81402968])]"
64,94,70,-34,0.0184465170794,"[535, 'iasp91', 215033, array([ 0.75391893, -1.50320566,  2.28524162]), array([ 0.27024467, -0.51412401,  0.81402968])]"
65,94,70,-32,0.0186684993553,"[535, 'iasp91', 215034, array([ 0.77265222, -1.39491922,  2.30131707]), array([ 0.27024467, -0.51412401,  0.81402968])]"
81,94,88,-8,0.0200434902129,"[535, 'iasp91', 215946, array([ 0.83298856, -1.46558756,  2.39459114]), array([ 0.27024467, -0.51412401,  0.81402968])]"
30,78,46,-66,0.0202266248505,"[535, 'iasp91', 177817, array([ 0.7866006 , -1.37924293,  2.21102939]), array([ 0.27024467, -0.51412401,  0.81402968])]"
52,90,60,-44,0.0206925135691,"[535, 'iasp91', 205528, array([ 0.77276639, -1.41627961,  2.17463147]), array([ 0.27024467, -0.51412401,  0.81402968])]"
70,94,76,-24,0.0214445688977,"[535, 'iasp91', 215338, array([ 0.80181831, -1.43119106,  2.22945743]), array([ 0.27024467, -0.51412401,  0.81402968])]"
28,78,46,-70,0.0216628702376,"[535, 'iasp91', 177815, array([ 0.7419768 , -1.54229477,  2.36714779]), array([ 0.27024467, -0.51412401,  0.81402968])]"
