,Strike,Dip,Rake,Misfit,Extra
38,46,50,-92,0.000638672817604,"[535, 'iasp91', 106004, array([  1.05086243e-03,  -1.08499598e+00,  -1.26885582e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
39,46,50,-90,0.000915822510268,"[535, 'iasp91', 106005, array([  9.19067092e-04,  -9.48389405e-01,  -1.11083895e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
37,46,50,-94,0.000949209400835,"[535, 'iasp91', 106003, array([  1.18137745e-03,  -1.22028065e+00,  -1.42532679e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
36,46,50,-96,0.00134942972193,"[535, 'iasp91', 106002, array([  1.31045315e-03,  -1.35407860e+00,  -1.58006122e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
35,46,50,-98,0.00171073255095,"[535, 'iasp91', 106001, array([  1.43793226e-03,  -1.48622682e+00,  -1.73287059e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
40,46,50,-88,0.00181134892062,"[535, 'iasp91', 106006, array([  7.86152013e-04,  -8.10627365e-01,  -9.51468684e-01]), array([ 0.        , -0.64981277, -0.76009431])]"
34,46,50,-100,0.00202398650685,"[535, 'iasp91', 106000, array([  1.56365947e-03,  -1.61656429e+00,  -1.88356872e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
373,178,52,56,0.0021202363255,"[535, 'iasp91', 403178, array([-0.00475648, -1.51907364, -1.77475368]), array([ 0.        , -0.64981277, -0.76009431])]"
277,162,62,46,0.00231748817782,"[535, 'iasp91', 367673, array([ 0.00659586, -2.52677495, -2.94618935]), array([ 0.        , -0.64981277, -0.76009431])]"
268,160,64,46,0.00320086920929,"[535, 'iasp91', 363273, array([-0.00608387, -2.67405707, -3.10997563]), array([ 0.        , -0.64981277, -0.76009431])]"
41,46,50,-86,0.00321488195477,"[535, 'iasp91', 106007, array([  6.52279130e-04,  -6.71877700e-01,  -7.90939205e-01]), array([ 0.        , -0.64981277, -0.76009431])]"
362,176,52,54,0.00376342095577,"[535, 'iasp91', 398677, array([ -4.74225866e-05,  -1.59409371e+00,  -1.87890209e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
